index,panoid,lat,lon,year,month,img_path,ang_0,ang_90,ang_180,ang_270
45054,qY58h6TMBoqANoJdHbkMKA,-1.161035234160621,36.95332649213838,2021.0,12.0,Q/y/,0.0,0.0,0.0,0.7119565
13889,qY5vfi9X2FD6Ju6CYwdSkw,-1.328589665452826,36.75336310458781,2021.0,7.0,Q/y/,0.0,0.0,0.0,0.0
93376,qY8klyKu0X1G3iJ9eF6vuQ,-1.25180376270616,36.87370077573287,2018.0,2.0,Q/y/,0.0,0.0,0.0,0.70771646
65006,qY9yu_u-R598fA2pJpK3BA,-1.18197264783651,36.91038162819399,2021.0,9.0,Q/y/,0.0,0.0,0.0,0.0
51040,qYEaxaji6H51kIjziEoCYg,-1.200754453349311,36.92103460435685,2018.0,2.0,Q/y/,0.0,0.0,0.0,0.63520986
74983,qYG7dh15zBCf-4UCW7vDLA,-1.284103987494788,36.722546971725,2021.0,8.0,Q/y/,0.0,0.0,0.0,0.0
44434,qYHoKX7PtqZrzAmZoDOOYA,-1.155386534092582,36.93387477475584,2021.0,12.0,Q/y/,0.0,0.0,0.0,0.0
100996,qYJi_XQwI9bk6agtwpr9vA,-1.234998238943245,36.73822904114228,2021.0,8.0,Q/y/,0.0,0.0,0.0,0.0
70509,qYK-kHINBsYNv2pqaEoFew,-1.245247484701548,36.98378420450302,2021.0,7.0,Q/y/,0.0,0.0,0.0,0.0
104722,qYK-kHINBsYNv2pqaEoFew,-1.245247484701548,36.98378420450302,2021.0,7.0,Q/y/,0.0,0.0,0.0,0.0
102668,qYNZ-JRMNwFHxV9NVnvnxQ,-1.240470625809775,36.89051491197391,2018.0,2.0,Q/y/,0.7731706,0.0,0.0,0.0
31722,qYPFdl2H0oNQhZvpUDULlg,-1.188443899268686,36.91053529538142,2018.0,2.0,Q/y/,0.0,0.0,0.0,0.0
78144,qYS9qqmp0BCLMqkQpSCTMw,-1.287687502813352,36.70139497764394,2021.0,8.0,Q/y/,0.0,0.0,0.0,0.0
78148,qYS9qqmp0BCLMqkQpSCTMw,-1.287687502813352,36.70139497764394,2021.0,8.0,Q/y/,0.0,0.0,0.0,0.0
22874,qYSdm5-mMqA-vlY2vnkh6Q,-1.286481384635568,36.82048017684416,2021.0,8.0,Q/y/,0.0,0.0,0.0,0.0
