index,panoid,lat,lon,year,month,img_path,angle,value,img_name
62333,1IwqMvKroz4UzZ_5AzFeAw,-1.185931722449789,36.87962834481539,2021.0,9.0,1/i/,90,0.86322314,1IwqMvKroz4UzZ_5AzFeAw_90
17343,1JAkKrBwrA5Mld5Pv55zhg,-1.150164753001626,36.95720148957036,2021.0,12.0,1/j/,90,0.64691335,1JAkKrBwrA5Mld5Pv55zhg_90
75172,1JN5eUqvGjHAbHU4GFvPGg,-1.212238710213684,36.93584151938859,2021.0,9.0,1/j/,90,0.73068786,1JN5eUqvGjHAbHU4GFvPGg_90
61193,1JNhbluOQCy_rje7QQfMQg,-1.268595339362539,36.93730399516716,2021.0,8.0,1/j/,90,0.71344686,1JNhbluOQCy_rje7QQfMQg_90
66137,1JirDLHCe19LKkNC3O7VZw,-1.350382970579485,36.94025715254841,2018.0,4.0,1/j/,90,0.7375286,1JirDLHCe19LKkNC3O7VZw_90
89106,1KDleN4A4Np11FkthP-1Gg,-1.329118931657934,36.7278035371936,2017.0,12.0,1/K/,90,0.62999964,1KDleN4A4Np11FkthP-1Gg_90
117723,1Kb0-hdWTA6uho8MRbVeHg,-1.368840193546698,36.91597464389465,2021.0,8.0,1/K/,90,0.6354193,1Kb0-hdWTA6uho8MRbVeHg_90
100830,1L4_Ya-PUO0M3gN3EMcHLQ,-1.288001217622761,36.97027132671496,2018.0,2.0,1/L/,90,0.6776267,1L4_Ya-PUO0M3gN3EMcHLQ_90
2323,1LE_HVXFOsMFiL6xX8NFdA,-1.306230331996817,36.84132112123715,2021.0,7.0,1/L/,90,0.81450856,1LE_HVXFOsMFiL6xX8NFdA_90
47411,1LTzFtGaAt-pR3AdLrLBEQ,-1.248434717400714,36.95228957163332,2018.0,2.0,1/L/,90,0.79115045,1LTzFtGaAt-pR3AdLrLBEQ_90
50244,1LaYvJRdEacIHwHkQfcWBg,-1.331109624589518,36.89335063536874,2021.0,8.0,1/L/,90,0.8053332,1LaYvJRdEacIHwHkQfcWBg_90
23461,1MBV7CzlVZlHR8i0UNdGww,-1.287113743461321,36.90930799998502,2018.0,2.0,1/m/,90,0.64774543,1MBV7CzlVZlHR8i0UNdGww_90
67667,1MCouPGCLfdcoIQxr1MJUA,-1.288313216217329,36.98947561239478,2018.0,2.0,1/m/,90,0.73375434,1MCouPGCLfdcoIQxr1MJUA_90
62431,1MEQPMf5m1tBILpqi7S2dw,-1.253938283380732,36.92607009997323,2018.0,2.0,1/m/,90,0.6705059,1MEQPMf5m1tBILpqi7S2dw_90
72491,1MHbfNSf4-02WrZgHXTVcw,-1.360712800114053,36.66876843911712,2018.0,4.0,1/m/,90,0.75714195,1MHbfNSf4-02WrZgHXTVcw_90
24664,1MdoOI-qIb-ciScSqAHNng,-1.271893787259717,36.88737887080393,2018.0,2.0,1/m/,90,0.8391566,1MdoOI-qIb-ciScSqAHNng_90
94385,1MlX1abVMZhZmf7cSn6a3A,-1.329048019193961,36.83451933965505,2021.0,9.0,1/m/,90,0.60800326,1MlX1abVMZhZmf7cSn6a3A_90
115756,1NGSKzvAnUSx6cvuT6vf8w,-1.317916741280627,36.82968577854884,2021.0,9.0,1/N/,90,0.75714946,1NGSKzvAnUSx6cvuT6vf8w_90
32507,1NUbIRYNorSdYLHeSAPOvQ,-1.302730493395322,36.90588337708976,2021.0,8.0,1/N/,90,0.6351741,1NUbIRYNorSdYLHeSAPOvQ_90
58944,1NjRPE2vc4n-EPvBAFO_gQ,-1.259776448288317,36.9271241249375,2018.0,2.0,1/N/,90,0.69289154,1NjRPE2vc4n-EPvBAFO_gQ_90
89372,1NwHP2M-Sjxf6N1aFmSYTQ,-1.453798214447707,36.9675781083039,2021.0,9.0,1/N/,90,0.6883057,1NwHP2M-Sjxf6N1aFmSYTQ_90
66796,1OaF0o1r320Z6g2SWMHARQ,-1.313373651576206,36.82777294716846,2022.0,6.0,1/O/,90,0.6681734,1OaF0o1r320Z6g2SWMHARQ_90
21733,1OhZV8sVQVTv9s8TizY6Gw,-1.278037036280709,36.83399330732235,2021.0,10.0,1/O/,90,0.6950158,1OhZV8sVQVTv9s8TizY6Gw_90
86837,1OxYlM3j-5GJF6AVLiYXVw,-1.317283666669592,36.89116092983801,2021.0,8.0,1/O/,90,0.8518679,1OxYlM3j-5GJF6AVLiYXVw_90
53155,1P7awNWj4fnDddLG0JSA9A,-1.295669045088218,36.7766604304778,2017.0,12.0,1/P/,90,0.6660947,1P7awNWj4fnDddLG0JSA9A_90
117760,1QKgWm5Feo-lhiiravTrrQ,-1.361870307011896,36.90895660198115,2022.0,5.0,1/Q/,90,0.63747126,1QKgWm5Feo-lhiiravTrrQ_90
46595,1QQmDv7icoqj4ZLHvAgE9Q,-1.256479828280126,36.94081145598974,2018.0,2.0,1/Q/,90,0.74618757,1QQmDv7icoqj4ZLHvAgE9Q_90
100775,1QZDvmarJ83KGgLnNoHDpQ,-1.286839774288911,37.00337824396803,2018.0,2.0,1/Q/,90,0.8399669,1QZDvmarJ83KGgLnNoHDpQ_90
36425,1QZDvmarJ83KGgLnNoHDpQ,-1.286839774288911,37.00337824396803,2018.0,2.0,1/Q/,90,0.8399669,1QZDvmarJ83KGgLnNoHDpQ_90
67232,1QoxHfnpiycNjbDFJQqgdA,-1.282464402898819,37.01006064968272,2018.0,2.0,1/Q/,90,0.7991143,1QoxHfnpiycNjbDFJQqgdA_90
51781,1QqyQui-utXIBzY42WL_tg,-1.308722634930864,36.68385714138942,2018.0,1.0,1/Q/,90,0.6939353,1QqyQui-utXIBzY42WL_tg_90
101391,1RCQ9AIFTKRQkGoQy5WGog,-1.195140387858749,36.92907751710851,2018.0,2.0,1/r/,90,0.61774254,1RCQ9AIFTKRQkGoQy5WGog_90
