panoid,lat,lon,year,month,img_path,angle,type,img_name
IMG_7022,-1.336822222222222,36.775055555555554,2023,2,Used/,,Self,IMG_7022
IMG_7208,-1.285147222222222,36.805213888888886,2023,2,Used/,,Self,IMG_7208
IMG_8649,-1.305913888888889,36.74205277777778,2023,2,Used/,,Self,IMG_8649
IMG_8661,-1.3103694444444445,36.72813055555556,2023,2,Used/,,Self,IMG_8661
IMG_7234,-1.2787694444444444,36.80396944444444,2023,2,Used/,,Self,IMG_7234
IMG_8107,-1.3190222222222223,36.83763611111112,2023,2,Used/,,Self,IMG_8107
IMG_7220,-1.2800194444444444,36.80713333333333,2023,2,Used/,,Self,IMG_7220
IMG_8113,-1.322622222222222,36.84410277777778,2023,2,Used/,,Self,IMG_8113
IMG_6880,-1.3644,36.74620555555556,2023,2,Used/,,Self,IMG_6880
IMG_8675,-1.2915027777777777,36.68499444444444,2023,2,Used/,,Self,IMG_8675
IMG_8098,-1.312561111111111,36.83015833333334,2023,2,Used/,,Self,IMG_8098
IMG_7383,-1.2980833333333333,36.803177777777776,2023,2,Used/,,Self,IMG_7383
IMG_7397,-1.29845,36.80040555555555,2023,2,Used/,,Self,IMG_7397
IMG_8729,-1.0141583333333333,36.60085277777778,2023,2,Used/,,Self,IMG_8729
IMG_7368,-1.2951388888888888,36.80258611111111,2023,2,Used/,,Self,IMG_7368
IMG_8715,-1.2254083333333334,36.66381944444444,2023,2,Used/,,Self,IMG_8715
IMG_7340,-1.2892944444444443,36.79821111111111,2023,2,Used/,,Self,IMG_7340
IMG_8073,-1.294336111111111,36.81443333333333,2023,2,Used/,,Self,IMG_8073
IMG_7354,-1.2918888888888889,36.79916388888888,2023,2,Used/,,Self,IMG_7354
IMG_8067,-1.2945555555555557,36.81105,2023,2,Used/,,Self,IMG_8067
IMG_8701,-1.2413277777777778,36.66553611111111,2023,2,Used/,,Self,IMG_8701
IMG_7803,-1.312738888888889,36.87212777777778,2023,2,Used/,,Self,IMG_7803
IMG_7817,-1.3121833333333337,36.87025555555556,2023,2,Used/,,Self,IMG_7817
IMG_7181,-1.288333333333333,36.79842222222222,2023,2,Used/,,Self,IMG_7181
