panoid,lat,lon,year,month,ang_0,ang_90,ang_180,ang_270,img_path
-1BKssXReDvf0SFBSsPEvw,-1.294193071914836,36.98064830261927,2018.0,2.0,0.0,0.0,0.0,0.0,-/1/
-1ClMWxgaj7JVOMpP8YmMg,-1.207424751316457,36.91100933980762,2021.0,9.0,0.0,0.0,0.0,0.0,-/1/
-1F2KdrDjZqpYr8GmS7rig,-1.285235697929871,36.70130858800031,2018.0,1.0,0.0,0.0,0.0,0.0,-/1/
-1GWYdUrPFiTs4FqbW_Ipw,-1.285079428951065,36.77026698083285,2017.0,12.0,0.4775492,0.40353584,0.46685722,0.40715373,-/1/
-1LC0N0L69YtUFFQx-vz9w,-1.165308490700218,36.64056875800586,2021.0,11.0,0.0,0.0,0.0,0.0,-/1/
-1M2cbI8eGIrQFINNcgQsQ,-1.249793153648201,36.92350034818288,2018.0,2.0,0.0,0.0,0.0,0.0,-/1/
-1MXcwxF479u4ky3_TVw8g,-1.323361893861716,36.83054850356278,2021.0,9.0,0.0,0.0,0.0,0.0,-/1/
-1ShVwE9hFDgWZgMpbbVfw,-1.268600150970473,36.71891346504731,2017.0,12.0,0.0,0.0,0.0,0.0,-/1/
-1U4RFWTjAWk_6C4rWwtpw,-1.288489587791856,36.88013246491293,2018.0,1.0,0.0,0.0,0.0,0.0,-/1/
-1UhHR3eBolbbQs7r7Qh3A,-1.364176337761711,36.94294260250778,2018.0,4.0,0.0,0.0,0.0,0.0,-/1/
-1XcMdNrtXdPo8EIUq9gwQ,-1.274732873332399,36.94624396521389,2018.0,2.0,0.0,0.0,0.0,0.0,-/1/
-1XrVYSA99g4mDPsD5AkLg,-1.183932789350697,36.64590620054144,2021.0,11.0,0.0,0.0,0.0,0.0,-/1/
-1YIo4jNazV44g7Jez_6jQ,-1.289220892289153,37.05544531382763,2018.0,2.0,0.27682957,0.0,0.0,0.0,-/1/
-1YaBE-oCIwSInXk4l-cKw,-1.260925548278877,36.79214148128227,2017.0,12.0,0.48137146,0.38560468,0.0,0.39419445,-/1/
-1apqwncNVwPAWhOxTu51g,-1.334936015659749,36.67509614001213,2018.0,1.0,0.0,0.0,0.0,0.0,-/1/
-1hMWOGsJdujoT6T8R62iw,-1.264119654211227,36.90094011896107,2018.0,2.0,0.26463452,0.0,0.0,0.0,-/1/
-1nInegVHToa7OGgrT5B_Q,-1.214430309635855,36.93640061308975,2021.0,9.0,0.0,0.0,0.0,0.0,-/1/
-1nLym8bv1jy1TDEFy0TZg,-1.282773897677025,36.82341338884548,2021.0,8.0,0.0,0.27156475,0.0,0.2851573,-/1/
-1q2YdAjJazJP1y9pLyjkA,-1.268151936432737,36.97131897685749,2018.0,2.0,0.0,0.0,0.0,0.0,-/1/
-1q6-Ql576lVTJsRe7JKcg,-1.276528837534364,36.75918458757795,2018.0,2.0,0.0,0.0,0.0,0.0,-/1/
-1tDLtIPWnIfW8EUlF-MJw,-1.194262889556391,36.94283287708088,2021.0,9.0,0.0,0.0,0.0,0.0,-/1/
-1ucLSwYGGqf1mHmRaM3Pg,-1.255856247449114,36.86728001686338,2018.0,2.0,0.0,0.0,0.0,0.0,-/1/
-2-fw5zYhkPigmrm9fJ2Rw,-1.239547516879393,36.89316640489219,2018.0,2.0,0.0,0.41461587,0.26834333,0.0,-/2/
-23LrKgtBIKpxMlLg3r-Aw,-1.18702246631797,36.65969440680998,2022.0,2.0,0.0,0.0,0.0,0.0,-/2/
-23VaHQ834cfdZmX47I5_Q,-1.146664861853898,36.94738011190655,2018.0,5.0,0.0,0.0,0.0,0.28183758,-/2/
-24Qg1YLtgBHos3CfnswVA,-1.268718276140072,36.67104193968532,2021.0,10.0,0.0,0.0,0.35236278,0.4444629,-/2/
-25vHCg8AoICBODRZ9W47w,-1.210301479200682,36.88507605668132,2021.0,11.0,0.44480357,0.0,0.5338872,0.0,-/2/
-29Xr3yexuq9xG0QhmoPYg,-1.252174341149798,36.72232275132284,2021.0,8.0,0.0,0.0,0.0,0.0,-/2/
-2CZEvJk3QZXmOA9WW4Tlw,-1.26549647075588,36.81430558553853,2021.0,8.0,0.0,0.0,0.0,0.0,-/2/
-2DjJsCZA6IGCcoixxJqVw,-1.482209040691799,36.96489766185771,2022.0,3.0,0.0,0.0,0.0,0.0,-/2/
-2FPflGbWdTpPoe0PPJlVQ,-1.331107717309842,36.86098792094706,2021.0,10.0,0.0,0.0,0.0,0.0,-/2/
-2ImghPbNoV6UZ8sMR0WOg,-1.252918699549977,36.94187314161592,2021.0,8.0,0.0,0.0,0.0,0.0,-/2/
-2KbUwot76lCWi8RKLGZJA,-1.184365102755162,36.73222925882961,2021.0,12.0,0.0,0.0,0.0,0.0,-/2/
-2QdlzZCwJEM1tO0AU9b4g,-1.274345985365857,36.88496583428761,2018.0,2.0,0.37491527,0.3790511,0.0,0.0,-/2/
-2SkFhnXWYfpNow9zeO-3w,-1.245800626051264,37.00429677616481,2018.0,2.0,0.0,0.0,0.0,0.0,-/2/
-2SmQ2CXQYdutQZyxGL4uQ,-1.219814719786012,36.73654435490489,2021.0,8.0,0.0,0.0,0.0,0.0,-/2/
-2XVRCgeZDSKdtXXE3Ydsw,-1.265746101845034,36.88086303073937,2018.0,2.0,0.0,0.0,0.0,0.0,-/2/
-2fVqVcfuv_o0AgUhv1QtQ,-1.291018100802671,36.89241651233088,2021.0,8.0,0.0,0.0,0.0,0.0,-/2/
-2fvg3jfQVSM6iZIAEk-mQ,-1.20124283547235,36.76312579959315,2021.0,12.0,0.0,0.0,0.0,0.0,-/2/
-2hRrwGbTBnQg6Rv6ZCc7A,-1.230122393843969,36.74207030515833,2021.0,8.0,0.0,0.0,0.0,0.0,-/2/
-2hn7NzIlbKRclFECyNuWw,-1.280222938058623,37.03486909468624,2018.0,2.0,0.0,0.0,0.0,0.0,-/2/
-2jxA5xVjTqI3CvjzbXdEA,-1.319061780545272,36.89710629240723,2018.0,4.0,0.0,0.0,0.0,0.32564157,-/2/
-2kMxWolm1hdTcWQhz--dQ,-1.268584104553091,36.83824827157955,2018.0,2.0,0.43026084,0.0,0.0,0.39853185,-/2/
-2l2cmB66gttx2b3icdAQw,-1.251744612220957,36.85998360195658,2021.0,7.0,0.0,0.0,0.0,0.0,-/2/
-2r0YQkC6U95pyr4K7mkiA,-1.297051330724143,36.69572307906532,2021.0,7.0,0.0,0.0,0.0,0.0,-/2/
-2s5xL0p61_7qMx6Vo-7dA,-1.35344600081608,36.8239376321314,2018.0,10.0,0.0,0.0,0.0,0.0,-/2/
-2urScesOMhK4C8au0G0AQ,-1.229742522781514,36.84236437293856,2021.0,9.0,0.0,0.3594593,0.0,0.0,-/2/
-2yGtxcZNzTYj9ep3SUycQ,-1.351947155247788,36.66371234560495,2018.0,4.0,0.0,0.0,0.36644635,0.0,-/2/
