sub_county_x,ward_x,_Capture_the_location_latitude,_Capture_the_location_longitude,_Capture_the_location_precision_x,Feature_x,Garbage/Garbage_type_x,Garbage/Other_garbage_type_x,Garbage/Garbage_Ownership_x,Garbage/Other_Garbage_Ownership,OSM,Comments_x,sub_county_y,ward_y,_Capture_the_location_precision_y,Feature_y,Garbage/Garbage_type_y,Garbage/Other_garbage_type_y,Garbage/Garbage_Ownership_y,description,Comments_y
Embakasi East,Upper Savanna,-1.2919776,36.9014058,4.708,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,4.708,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2997531,36.8872329,4.288,garbage point,illegal dumping,,public land,,yes,This illegal dumping point is bad and action need to be taken,Embakasi East,Upper Savanna,4.288,garbage point,illegal dumping,,public land,,This illegal dumping point is bad and action need to be taken
Embakasi East,Upper Savanna,-1.3031106,36.8881969,4.645,garbage point,illegal dumping,,other,outering road donholm near equity bank,no,,Embakasi East,Upper Savanna,4.645,garbage point,illegal dumping,,other,outering road donholm near equity bank	,
Embakasi East,Upper Savanna,-1.2848683,36.9000675,4.768,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,4.768,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2896717,36.9027878,4.592,garbage point,illegal dumping,,private,,yes,An action to be taken here,Embakasi East,Upper Savanna,4.592,garbage point,illegal dumping,,private,,An action to be taken here
Embakasi East,Upper Savanna,-1.2879588,36.9045592,4.824,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,4.824,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2832032,36.9025806,4.876,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,4.876,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2845805,36.9005236,4.673,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,4.673,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2912185,36.9019783,5.0,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,5.0,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2916378,36.9016224,5.0,garbage point,illegal dumping,,public land,,yes,,Embakasi East,Upper Savanna,5.0,garbage point,illegal dumping,,public land,,
Embakasi East,Upper Savanna,-1.2927511,36.9008447,4.11,garbage point,collection point,,public land,,yes,,Embakasi East,Upper Savanna,4.11,garbage point,collection point,,public land,,
Embakasi West,Mowlem,-1.2671017,36.8970867,4.05,garbage point,holding ground,,other,roadside,no,,Embakasi West,Mowlem,4.05,garbage point,holding ground,,other,roadside,
Embakasi West,Mowlem,-1.2658033,36.8959999,4.05,garbage point,holding ground,,other,roadside,no,,Embakasi West,Mowlem,4.05,garbage point,holding ground,,other,roadside,
Embakasi West,Mowlem,-1.2653798,36.8960844,4.44,garbage point,holding ground,,other,road reserves,no,,Embakasi West,Mowlem,4.44,garbage point,holding ground,,other,road reserves,
Embakasi West,Mowlem,-1.2647955,36.8956402,4.683,garbage point,illegal dumping,,public land,,no,,Embakasi West,Mowlem,4.683,garbage point,illegal dumping,,public land,,
Embakasi West,Mowlem,-1.2647767,36.89563,3.9,garbage point,holding ground,,public land,,no,,Embakasi West,Mowlem,3.9,garbage point,holding ground,,public land,,
Embakasi West,Mowlem,-1.2646933,36.89556,4.8,garbage point,holding ground,,public land,,no,,Embakasi West,Mowlem,4.8,garbage point,holding ground,,public land,,
