sub_county_x,ward_x,_Capture_the_location_latitude,_Capture_the_location_longitude,_Capture_the_location_precision_x,Feature_x,Garbage/Garbage_type_x,Garbage/Other_garbage_type_x,Garbage/Garbage_Ownership_x,Garbage/Other_Garbage_Ownership,OSM,Comments_x,sub_county_y,ward_y,_Capture_the_location_precision_y,Feature_y,Garbage/Garbage_type_y,Garbage/Other_garbage_type_y,Garbage/Garbage_Ownership_y,description,Comments_y
Kibra,Woodley/Kenyatta Golf Course,-1.2229513,36.8840277,4.884,garbage point,holding ground,,public land,,yes,no water point used,Kibra,Woodley/Kenyatta Golf Course,4.884,garbage point,holding ground,,public land,,no water point used
Roysambu,Roysambu,-1.2228569,36.8823227,4.8,garbage point,bin,,public land,,yes,,Roysambu,Roysambu,4.8,garbage point,bin,,public land,,
Roysambu,Roysambu,-1.2227163,36.8840041,3.366,garbage point,holding ground,,private,,yes,in a good condition,Roysambu,Roysambu,3.366,garbage point,holding ground,,private,,in a good condition
Roysambu,Roysambu,-1.2248675,36.8826285,4.716,garbage point,bin,,private,,yes,,Roysambu,Roysambu,4.716,garbage point,bin,,private,,
Roysambu,Roysambu,-1.2237755,36.8826562,3.068,garbage point,bin,,private,,yes,improve on waste segregation,Roysambu,Roysambu,3.068,garbage point,bin,,private,,improve on waste segregation
Roysambu,Roysambu,-1.2231262,36.8837076,4.4,garbage point,bin,,private,,yes,,Roysambu,Roysambu,4.4,garbage point,bin,,private,,
Kibra,Woodley/Kenyatta Golf Course,-1.2249195,36.8826151,4.997,garbage point,bin,,public land,,yes,no,Kibra,Woodley/Kenyatta Golf Course,4.997,garbage point,bin,,public land,,no
Roysambu,Roysambu,-1.2221538,36.8815218,4.065,garbage point,bin,,private,,yes,,Roysambu,Roysambu,4.065,garbage point,bin,,private,,
Roysambu,Roysambu,-1.2233018,36.8822765,3.857,garbage point,bin,,private,,yes,,Roysambu,Roysambu,3.857,garbage point,bin,,private,,
Roysambu,Roysambu,-1.2236645,36.8834955,4.1,garbage point,bin,,private,,yes,,Roysambu,Roysambu,4.1,garbage point,bin,,private,,
Roysambu,Roysambu,-1.2225318,36.8819036,3.814,garbage point,bin,,private,,yes,,Roysambu,Roysambu,3.814,garbage point,bin,,private,,
Roysambu,Roysambu,-1.2234446,36.8828897,4.863,garbage point,collection point,,private,,yes,,Roysambu,Roysambu,4.863,garbage point,collection point,,private,,
Roysambu,Roysambu,-1.2233499,36.8826284,4.672,garbage point,illegal dumping,,private,,yes,,Roysambu,Roysambu,4.672,garbage point,illegal dumping,,private,,
Lang'ata,Mugumo-ini,-1.2229407,36.8840775,4.82,garbage point,holding ground,,public land,,no,found in a residential area,Lang'ata,Mugumo-ini,4.82,garbage point,holding ground,,public land,,found in a residential area
Kamukunji,Airbase,-1.2249018,36.8827493,4.613,garbage point,bin,,private,,yes,Great,Kamukunji,Airbase,4.613,garbage point,bin,,private,,Great
Makadara,Harambee,-1.2225102,36.8818733,4.005,garbage point,holding ground,,community,,yes,,Makadara,Harambee,4.005,garbage point,holding ground,,community,,
Kamukunji,Pumwani,-1.2236557,36.8825109,4.099,garbage point,illegal dumping,,public land,,yes,Needs to be closed down,Kamukunji,Pumwani,4.099,garbage point,illegal dumping,,public land,,Needs to be closed down
Embakasi South,Kware,-1.2228389,36.8841396,4.93,garbage point,holding ground,,public land,,yes,,Embakasi South,Kware,4.93,garbage point,holding ground,,public land,,
Westlands,Parklands/Highridge,-1.2226057,36.8841806,4.9,garbage point,collection point,,private,,yes,There's need for frequent collection to avoid heaping of garbage.,Westlands,Parklands/Highridge,4.9,garbage point,collection point,,private,,There's need for frequent collection to avoid heaping of garbage.
Kasarani,Njiru,-1.2228144,36.881808,4.417,garbage point,bin,,private,,yes,Helps maintain the compound clean,Kasarani,Njiru,4.417,garbage point,bin,,private,,Helps maintain the compound clean
Kasarani,Njiru,-1.221795,36.8820686,2.496,garbage point,illegal dumping,,other,roadside damping,yes,Illegal,Kasarani,Njiru,2.496,garbage point,illegal dumping,,other,,Illegal
Kasarani,Njiru,-1.2217641,36.882136,3.942,garbage point,illegal dumping,,community,,yes,Foul odors at the neighborhood,Kasarani,Njiru,3.942,garbage point,illegal dumping,,community,,Foul odors at the neighborhood
Kasarani,Njiru,-1.2219214,36.8821421,2.158,garbage point,other,Drainage,community,,yes,Drainage,Kasarani,Njiru,2.158,garbage point,other,Drainage,community,,Drainage
Kasarani,Kasarani,-1.2228923,36.8820761,3.178,garbage point,bin,,private,,yes,The bin is artistic,Kasarani,Kasarani,3.178,garbage point,bin,,private,,The bin is artistic
Kasarani,Ruai,-1.2220127,36.8821794,5.0,garbage point,bin,,private,,yes,,Kasarani,Ruai,5.0,garbage point,bin,,private,,
Kamukunji,Eastleigh North,-1.2236882,36.8825808,3.798,garbage point,holding ground,,public land,,yes,,Kamukunji,Eastleigh North,3.798,garbage point,holding ground,,public land,,
Dagoretti North,Kilimani,-1.2230384,36.8823916,4.4,garbage point,collection point,,private,,yes,Bin,Dagoretti North,Kilimani,4.4,garbage point,collection point,,private,,Bin
Kasarani,Kasarani,-1.2232815,36.8822966,4.916,garbage point,bin,,private,,yes,No,Kasarani,Kasarani,4.916,garbage point,bin,,private,,No
Dagoretti North,Kawangware,-1.2226654,36.8823125,4.083,garbage point,collection point,,private,,yes,Well maintained,Dagoretti North,Kawangware,4.083,garbage point,collection point,,private,,Well maintained
Dagoretti North,Kawangware,-1.2225233,36.882207,4.866,garbage point,bin,,private,,yes,Good,Dagoretti North,Kawangware,4.866,garbage point,bin,,private,,Good
Dagoretti North,Kawangware,-1.2225383,36.8819367,2.6,garbage point,bin,,private,,no,Very nice,Dagoretti North,Kawangware,2.6,garbage point,bin,,private,,Very nice
Kasarani,Kasarani,-1.2227062,36.8826192,4.6,garbage point,bin,,private,,yes,No,Kasarani,Kasarani,4.6,garbage point,bin,,private,,No
Dagoretti North,Kawangware,-1.2218913,36.8823122,5.0,garbage point,bin,,private,,yes,Good,Dagoretti North,Kawangware,5.0,garbage point,bin,,private,,Good
Dagoretti North,Kawangware,-1.2219618,36.8817059,3.86,garbage point,holding ground,,private,,no,Nice,Dagoretti North,Kawangware,3.86,garbage point,holding ground,,private,,Nice
Makadara,Harambee,-1.2218851,36.8817851,4.988,garbage point,collection point,,community,,yes,,Makadara,Harambee,4.988,garbage point,collection point,,community,,
Embakasi South,Pipeline,-1.224863,36.8827121,4.633,garbage point,bin,,private,,yes,Very nice to use,Embakasi South,Pipeline,4.633,garbage point,bin,,private,,Very nice to use
Makadara,Makongeni,-1.2990268,36.8602237,2.923,garbage point,holding ground,,public land,,yes,,Makadara,Makongeni,2.923,garbage point,holding ground,,public land,,
Makadara,Makongeni,-1.2976869,36.8638031,2.4,garbage point,illegal dumping,,community,,yes,On the road side within residential area,Makadara,Makongeni,2.4,garbage point,illegal dumping,,community,,On the road side within residential area
Makadara,Makongeni,-1.298473,36.8640175,4.675,garbage point,illegal dumping,,public land,,yes,,Makadara,Makongeni,4.675,garbage point,illegal dumping,,public land,,
Makadara,Makongeni,-1.2971667,36.8631754,3.641,garbage point,illegal dumping,,public land,,yes,,Makadara,Makongeni,3.641,garbage point,illegal dumping,,public land,,
Kamukunji,Pumwani,-1.2852059,36.8466641,0.917,garbage point,collection point,,public land,,yes,Need to be cleared,Kamukunji,Pumwani,0.917,garbage point,collection point,,public land,,Need to be cleared
Kamukunji,Pumwani,-1.2837155,36.8458503,1.642,garbage point,holding ground,,private,,yes,Need to collect the waste frequently,Kamukunji,Pumwani,1.642,garbage point,holding ground,,private,,Need to collect the waste frequently
Kamukunji,Pumwani,-1.2880974,36.8449461,1.179,garbage point,illegal dumping,,public land,,yes,Illegal dumping ground,Kamukunji,Pumwani,1.179,garbage point,illegal dumping,,public land,,Illegal dumping ground
Dagoretti North,Kileleshwa,-1.2768044,36.7913661,3.987,garbage point,holding ground,,public land,,yes,"1.Classification bins should be put to ensure environmental cleanliness.
2.Boundaries should be put to avoid spillage
3.Collection should be done regularly to avoid forming a dumpsite.",Dagoretti North,Kileleshwa,3.987,garbage point,holding ground,,public land,,"1.Classification bins should be put to ensure environmental cleanliness.
2.Boundaries should be put to avoid spillage
3.Collection should be done regularly to avoid forming a dumpsite."
Makadara,Makongeni,-1.2999555,36.8490689,4.797,garbage point,collection point,,public land,,yes,,Makadara,Makongeni,4.797,garbage point,collection point,,public land,,
Makadara,Makongeni,-1.2985295,36.8447916,1.771,garbage point,illegal dumping,,public land,,yes,,Makadara,Makongeni,1.771,garbage point,illegal dumping,,public land,,
Kamukunji,Pumwani,-1.2898132,36.8463177,2.885,garbage point,holding ground,,public land,,yes,Need for collection,Kamukunji,Pumwani,2.885,garbage point,holding ground,,public land,,Need for collection
Kamukunji,Pumwani,-1.2896746,36.846725,2.685,garbage point,collection point,,public land,,yes,Need to be collected,Kamukunji,Pumwani,2.685,garbage point,collection point,,public land,,Need to be collected
Makadara,Harambee,-1.2871353,36.8731751,2.662,garbage point,holding ground,,public land,,yes,,Makadara,Harambee,2.662,garbage point,holding ground,,public land,,
Makadara,Harambee,-1.2881031,36.8744543,4.3,garbage point,holding ground,,public land,,yes,,Makadara,Harambee,4.3,garbage point,holding ground,,public land,,
Makadara,Harambee,-1.2909785,36.8708978,3.933,garbage point,holding ground,,public land,,yes,,Makadara,Harambee,3.933,garbage point,holding ground,,public land,,
Makadara,Harambee,-1.2842122,36.8724757,4.35,garbage point,collection point,,public land,,yes,,Makadara,Harambee,4.35,garbage point,collection point,,public land,,
Makadara,Harambee,-1.2854844,36.8704129,4.886,garbage point,holding ground,,public land,,yes,,Makadara,Harambee,4.886,garbage point,holding ground,,public land,,
Embakasi South,Pipeline,-1.3224448,36.8955352,4.744,garbage point,holding ground,,private,,yes,,Embakasi South,Pipeline,4.744,garbage point,holding ground,,private,,
Embakasi South,Pipeline,-1.3207286,36.8946461,4.987,garbage point,holding ground,,private,,yes,,Embakasi South,Pipeline,4.987,garbage point,holding ground,,private,,
Embakasi South,Kware,-1.3203926,36.8943654,4.881,garbage point,holding ground,,private,,yes,,Embakasi South,Kware,4.881,garbage point,holding ground,,private,,
Embakasi South,Kware,-1.3192143,36.8934344,4.824,garbage point,holding ground,,private,,yes,,Embakasi South,Kware,4.824,garbage point,holding ground,,private,,
Embakasi South,Kware,-1.3184638,36.8933483,4.392,garbage point,illegal dumping,,private,,yes,,Embakasi South,Kware,4.392,garbage point,illegal dumping,,private,,
Embakasi South,Pipeline,-1.315837,36.8918857,4.975,garbage point,holding ground,,private,,yes,,Embakasi South,Pipeline,4.975,garbage point,holding ground,,private,,
Embakasi South,Pipeline,-1.3148323,36.8910788,4.884,garbage point,holding ground,,private,,yes,,Embakasi South,Pipeline,4.884,garbage point,holding ground,,private,,
Embakasi South,Kware,-1.314064,36.8902858,4.874,garbage point,holding ground,,private,,yes,,Embakasi South,Kware,4.874,garbage point,holding ground,,private,,
Embakasi South,Kware,-1.3123672,36.8893696,4.762,garbage point,holding ground,,private,,yes,,Embakasi South,Kware,4.762,garbage point,holding ground,,private,,
Embakasi South,Pipeline,-1.3110446,36.8885422,4.586,garbage point,holding ground,,private,,yes,,Embakasi South,Pipeline,4.586,garbage point,holding ground,,private,,
Embakasi South,Kware,-1.3120568,36.8880403,4.986,garbage point,illegal dumping,,private,,yes,,Embakasi South,Kware,4.986,garbage point,illegal dumping,,private,,
Embakasi South,Kware,-1.3120961,36.8864378,4.503,garbage point,collection point,,private,,yes,,Embakasi South,Kware,4.503,garbage point,collection point,,private,,
Embakasi South,Imara Daima,-1.325655,36.8861595,4.96,garbage point,illegal dumping,,public land,,yes,,Embakasi South,Imara Daima,4.96,garbage point,illegal dumping,,public land,,
Embakasi South,Imara Daima,-1.324797,36.8855075,2.52,garbage point,collection point,,other,along the road,yes,,Embakasi South,Imara Daima,2.52,garbage point,collection point,,other,,
Embakasi South,Imara Daima,-1.3270311,36.8841261,4.725,garbage point,illegal dumping,,private,,yes,,Embakasi South,Imara Daima,4.725,garbage point,illegal dumping,,private,,
Embakasi South,Imara Daima,-1.3255551,36.8876282,4.379,garbage point,collection point,,other,on the side of the road,yes,,Embakasi South,Imara Daima,4.379,garbage point,collection point,,other,,
Embakasi South,Imara Daima,-1.3208981,36.882559,4.966,garbage point,illegal dumping,,private,,yes,,Embakasi South,Imara Daima,4.966,garbage point,illegal dumping,,private,,
Embakasi South,Imara Daima,-1.3203671,36.8831743,4.74,garbage point,illegal dumping,,community,,yes,,Embakasi South,Imara Daima,4.74,garbage point,illegal dumping,,community,,
Embakasi South,Imara Daima,-1.3199344,36.883753,4.62,garbage point,illegal dumping,,other,along the river,yes,,Embakasi South,Imara Daima,4.62,garbage point,illegal dumping,,other,,
Embakasi South,Imara Daima,-1.3189179,36.8845935,5.0,garbage point,illegal dumping,,community,,yes,,Embakasi South,Imara Daima,5.0,garbage point,illegal dumping,,community,,
Embakasi South,Imara Daima,-1.3194283,36.8821333,4.6,garbage point,holding ground,,community,,yes,,Embakasi South,Imara Daima,4.6,garbage point,holding ground,,community,,
Kasarani,Njiru,-1.2485817,36.9452734,3.7,garbage point,collection point,,public land,,yes,,Kasarani,Njiru,3.7,garbage point,collection point,,public land,,
Embakasi North,Dandora Area III,-1.2467283,36.9051687,3.99,garbage point,illegal dumping,,other,along tom mboya primary school perimeter wall,no,Illegal dumping should be eliminated,Embakasi North,Dandora Area III,3.99,garbage point,illegal dumping,,other,along tom mboya primary school perimeter wall,Illegal dumping should be eliminated
Embakasi North,Dandora Area III,-1.2459867,36.9056418,4.976,garbage point,illegal dumping,,other,near dandora stadium entrance,no,Dumping should be cleared and monitoring/enforcement to be continued,Embakasi North,Dandora Area III,4.976,garbage point,illegal dumping,,other,near dandora stadium entrance,Dumping should be cleared and monitoring/enforcement to be continued
Embakasi North,Dandora Area III,-1.2447516,36.9053769,2.566,garbage point,bin,,other,dandora stadium,yes,,Embakasi North,Dandora Area III,2.566,garbage point,bin,,other,,
Embakasi North,Dandora Area III,-1.2451182,36.9052058,3.4,garbage point,bin,,other,dandora stadium,yes,,Embakasi North,Dandora Area III,3.4,garbage point,bin,,other,,
Embakasi North,Dandora Area III,-1.2510138,36.9043427,4.7,garbage point,illegal dumping,,other,along cllr opudo road,no,Waste to be cleared and monitoring and enforcement to be continued,Embakasi North,Dandora Area III,4.7,garbage point,illegal dumping,,other,along cllr opudo road,Waste to be cleared and monitoring and enforcement to be continued
Embakasi North,Dandora Area III,-1.2512006,36.9034719,2.95,garbage point,collection point,,private,,no,,Embakasi North,Dandora Area III,2.95,garbage point,collection point,,private,,
Embakasi North,Dandora Area III,-1.2459695,36.904452,4.965,garbage point,illegal dumping,,other,along john osogo road,no,Garbage to be cleared and monitoring and enforcement to be continued,Embakasi North,Dandora Area III,4.965,garbage point,illegal dumping,,other,along john osogo road,Garbage to be cleared and monitoring and enforcement to be continued
Embakasi North,Dandora Area III,-1.2461571,36.9042166,3.2,garbage point,illegal dumping,,other,along john osogo road,yes,Garbage to be cleared and monitoring and enforcement to continue,Embakasi North,Dandora Area III,3.2,garbage point,illegal dumping,,other,along john osogo road,Garbage to be cleared and monitoring and enforcement to continue
Embakasi North,Dandora Area III,-1.2462212,36.9040728,2.4,garbage point,other,Illegal dumping and burning of waste,other,along john osogo road,yes,Garbage to be cleared and awareness creation and enforcement,Embakasi North,Dandora Area III,2.4,garbage point,other,Illegal dumping and burning of waste,other,along john osogo road,Garbage to be cleared and awareness creation and enforcement
Dagoretti North,Kilimani,-1.2874326,36.8114486,3.9,garbage point,collection point,,public land,,yes,,Dagoretti North,Kilimani,3.9,garbage point,collection point,,public land,,
Makadara,Viwandani,-1.3085431,36.863891,3.854,garbage point,collection point,,public land,,yes,,Makadara,Viwandani,3.854,garbage point,collection point,,public land,,
Makadara,Viwandani,-1.3095056,36.8619112,4.671,garbage point,holding ground,,private,,no,Private company,Makadara,Viwandani,4.671,garbage point,holding ground,,private,,Private company
Makadara,Maringo/ Hamza,-1.293844,36.8626423,4.881,garbage point,illegal dumping,,public land,,yes,,Makadara,Maringo/ Hamza,4.881,garbage point,illegal dumping,,public land,,
Makadara,Maringo/ Hamza,-1.2935397,36.8623276,4.994,garbage point,bin,,public land,,yes,,Makadara,Maringo/ Hamza,4.994,garbage point,bin,,public land,,
Makadara,Viwandani,-1.3083504,36.8789252,4.719,garbage point,collection point,,public land,,yes,Open air burning is a major challenge,Makadara,Viwandani,4.719,garbage point,collection point,,public land,,Open air burning is a major challenge
Dagoretti North,Kilimani,-1.2938974,36.7947387,2.883,garbage point,illegal dumping,,private,,yes,,Dagoretti North,Kilimani,2.883,garbage point,illegal dumping,,private,,
Embakasi North,Kariobangi North,-1.2525338,36.8812655,3.878,garbage point,holding ground,,other,roadside,no,"Not a good site, unhealthy and would require prompt collection on a regular basis",Embakasi North,Kariobangi North,3.878,garbage point,holding ground,,other,,"Not a good site, unhealthy and would require prompt collection on a regular basis"
Embakasi North,Kariobangi North,-1.2556586,36.8827745,4.805,garbage point,holding ground,,other,roadside,no,Requires prompt collection and getting an alternative holding/collection point,Embakasi North,Kariobangi North,4.805,garbage point,holding ground,,other,,Requires prompt collection and getting an alternative holding/collection point
Embakasi North,Kariobangi North,-1.2621216,36.88243,4.637,garbage point,illegal dumping,,other,besides the river bank,no,"Illegal dumping is a menace, sensitization and creation of awareness to be intensified to curb illegal dumping esp on our water catchment areas",Embakasi North,Kariobangi North,4.637,garbage point,illegal dumping,,other,,"Illegal dumping is a menace, sensitization and creation of awareness to be intensified to curb illegal dumping esp on our water catchment areas"
Embakasi South,Pipeline,-1.3227459,36.8986237,2.708,garbage point,collection point,,community,,yes,Help prevent illegal dumping,Embakasi South,Pipeline,2.708,garbage point,collection point,,community,,Help prevent illegal dumping
Kasarani,Kasarani,-1.2207298,36.9022521,3.422,garbage point,bin,,public land,,yes,No,Kasarani,Kasarani,3.422,garbage point,bin,,public land,,No
Embakasi South,Pipeline,-1.3209663,36.8977393,2.0,garbage point,illegal dumping,,public land,,no,Illegal dumping,Embakasi South,Pipeline,2.0,garbage point,illegal dumping,,public land,,Illegal dumping
Embakasi South,Pipeline,-1.3197965,36.8947099,4.557,garbage point,illegal dumping,,public land,,no,It is not pleasing.,Embakasi South,Pipeline,4.557,garbage point,illegal dumping,,public land,,It is not pleasing.
Dagoretti North,Kawangware,-1.2810564,36.742515,5.0,garbage point,collection point,,public land,,no,The site is illegal and should be cleared,Dagoretti North,Kawangware,5.0,garbage point,collection point,,public land,,The site is illegal and should be cleared
Dagoretti North,Kawangware,-1.287193,36.7478689,4.05,garbage point,collection point,,public land,,no,The site should be rehabilitated and later moved,Dagoretti North,Kawangware,4.05,garbage point,collection point,,public land,,The site should be rehabilitated and later moved
Kamukunji,Eastleigh North,-1.2786228,36.8461949,4.828,garbage point,collection point,,public land,,no,,Kamukunji,Eastleigh North,4.828,garbage point,collection point,,public land,,
Kamukunji,Airbase,-1.2715148,36.8503833,4.901,garbage point,holding ground,,public land,,no,,Kamukunji,Airbase,4.901,garbage point,holding ground,,public land,,
Westlands,Karura,-1.2629185,36.8258686,4.818,garbage point,bin,,private,,yes,Frequently emptied,Westlands,Karura,4.818,garbage point,bin,,private,,Frequently emptied
Westlands,Karura,-1.2629124,36.8284709,1.302,garbage point,bin,,public land,,yes,It controls illegal dumping,Westlands,Karura,1.302,garbage point,bin,,public land,,It controls illegal dumping
Westlands,Karura,-1.2648678,36.8286313,1.935,garbage point,collection point,,public land,,yes,When filled it's always collected,Westlands,Karura,1.935,garbage point,collection point,,public land,,When filled it's always collected
Westlands,Karura,-1.2621119,36.826925,2.228,garbage point,collection point,,public land,,yes,Garbage is collected frequently,Westlands,Karura,2.228,garbage point,collection point,,public land,,Garbage is collected frequently
Dagoretti North,Kilimani,-1.2826438,36.8105279,3.55,garbage point,bin,,private,,yes,Community,Dagoretti North,Kilimani,3.55,garbage point,bin,,private,,Community
Westlands,Parklands/Highridge,-1.2645188,36.801868,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2643758,36.8022771,4.74,garbage point,bin,,public land,,yes,,Westlands,Parklands/Highridge,4.74,garbage point,bin,,public land,,
Westlands,Parklands/Highridge,-1.2658973,36.8036383,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2648432,36.8051832,4.774,garbage point,collection point,,private,,yes,Owned by Gentleman's Club,Westlands,Parklands/Highridge,4.774,garbage point,collection point,,private,Owned by Gentleman's Club,Owned by Gentleman's Club
Westlands,Parklands/Highridge,-1.2643534,36.806041,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2643655,36.8061025,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2632427,36.8066847,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2637078,36.8076772,4.9,garbage point,other,Material Recovery Facility,private,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,other,Material Recovery Facility,private,,
Westlands,Parklands/Highridge,-1.2637033,36.8078105,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2640979,36.8078478,4.78,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.78,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2634885,36.8163621,4.996,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.996,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2636715,36.8163487,4.9,garbage point,collection point,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,collection point,,public land,,
Dagoretti North,Kilimani,-1.2897639,36.8168786,3.7,garbage point,bin,,public land,,yes,No,Dagoretti North,Kilimani,3.7,garbage point,bin,,public land,,No
Dagoretti North,Kilimani,-1.2876946,36.8162309,2.383,garbage point,bin,,public land,,yes,No,Dagoretti North,Kilimani,2.383,garbage point,bin,,public land,,No
Dagoretti North,Kilimani,-1.2886789,36.8151163,4.55,garbage point,collection point,,public land,,yes,No,Dagoretti North,Kilimani,4.55,garbage point,collection point,,public land,,No
Dagoretti North,Kilimani,-1.2887488,36.8151962,3.8,garbage point,bin,,public land,,yes,No,Dagoretti North,Kilimani,3.8,garbage point,bin,,public land,,No
Dagoretti North,Kilimani,-1.288819,36.8152232,3.542,garbage point,bin,,public land,,yes,No,Dagoretti North,Kilimani,3.542,garbage point,bin,,public land,,No
Dagoretti North,Kileleshwa,-1.289858,36.7769815,4.93,garbage point,bin,,private,,yes,,Dagoretti North,Kileleshwa,4.93,garbage point,bin,,private,,
Dagoretti North,Kileleshwa,-1.2736144,36.7886513,4.755,garbage point,holding ground,,private,,yes,,Dagoretti North,Kileleshwa,4.755,garbage point,holding ground,,private,,
Dagoretti North,Kileleshwa,-1.273634,36.7887772,4.75,garbage point,holding ground,,private,,yes,,Dagoretti North,Kileleshwa,4.75,garbage point,holding ground,,private,,
Dagoretti North,Kileleshwa,-1.2759823,36.7924824,4.92,garbage point,bin,,private,,yes,,Dagoretti North,Kileleshwa,4.92,garbage point,bin,,private,,
Kasarani,Njiru,-1.2537296,36.9173243,2.816,garbage point,collection point,,public land,,yes,,Kasarani,Njiru,2.816,garbage point,collection point,,public land,,
Westlands,Karura,-1.2164594,36.8253668,1.633,garbage point,illegal dumping,,private,,yes,It should be cleared,Westlands,Karura,1.633,garbage point,illegal dumping,,private,,It should be cleared
Westlands,Karura,-1.2154048,36.8256282,4.988,garbage point,illegal dumping,,private,,yes,To be cleared,Westlands,Karura,4.988,garbage point,illegal dumping,,private,,To be cleared
Westlands,Karura,-1.2166095,36.8256888,1.336,garbage point,collection point,,public land,,yes,To be collected,Westlands,Karura,1.336,garbage point,collection point,,public land,,To be collected
Westlands,Parklands/Highridge,-1.2585616,36.8174886,4.384,garbage point,holding ground,,private,,yes,Majorly holds organic waste from the market,Westlands,Parklands/Highridge,4.384,garbage point,holding ground,,private,,Majorly holds organic waste from the market
Westlands,Parklands/Highridge,-1.2574846,36.8157753,4.054,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.054,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2544316,36.8142671,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2544562,36.8137,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2548361,36.8128613,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2549979,36.812414,4.386,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.386,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2549464,36.8110217,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Westlands,Parklands/Highridge,-1.2538689,36.8148307,4.597,garbage point,collection point,,public land,,yes,,Westlands,Parklands/Highridge,4.597,garbage point,collection point,,public land,,
Westlands,Parklands/Highridge,-1.2576104,36.8241615,4.9,garbage point,illegal dumping,,public land,,yes,,Westlands,Parklands/Highridge,4.9,garbage point,illegal dumping,,public land,,
Kasarani,Mwiki,-1.2402372,36.9344579,4.875,garbage point,collection point,,private,,yes,,Kasarani,Mwiki,4.875,garbage point,collection point,,private,,
Kasarani,Ruai,-1.268234,36.991321,4.72,garbage point,illegal dumping,,private,,yes,,Kasarani,Ruai,4.72,garbage point,illegal dumping,,private,,
Westlands,Mountain View,-1.2713815,36.7466516,1.716,garbage point,illegal dumping,,public land,,yes,,Westlands,Mountain View,1.716,garbage point,illegal dumping,,public land,,
Westlands,Mountain View,-1.2739626,36.7505761,3.85,garbage point,illegal dumping,,public land,,yes,,Westlands,Mountain View,3.85,garbage point,illegal dumping,,public land,,
Westlands,Mountain View,-1.2737232,36.7509314,2.907,garbage point,illegal dumping,,public land,,yes,,Westlands,Mountain View,2.907,garbage point,illegal dumping,,public land,,
Westlands,Mountain View,-1.2684499,36.7485108,4.6,garbage point,illegal dumping,,public land,,yes,,Westlands,Mountain View,4.6,garbage point,illegal dumping,,public land,,
Westlands,Mountain View,-1.271058,36.7483622,3.744,garbage point,illegal dumping,,public land,,yes,Clear illegal dumping through sensitization and enforcement,Westlands,Mountain View,3.744,garbage point,illegal dumping,,public land,,Clear illegal dumping through sensitization and enforcement
Westlands,Mountain View,-1.2655541,36.7319662,4.987,garbage point,illegal dumping,,public land,,yes,,Westlands,Mountain View,4.987,garbage point,illegal dumping,,public land,,
Westlands,Mountain View,-1.2638393,36.7291608,4.516,garbage point,collection point,,public land,,yes,,Westlands,Mountain View,4.516,garbage point,collection point,,public land,,
Dagoretti North,Kawangware,-1.2843522,36.7420573,2.566,garbage point,illegal dumping,,public land,,yes,,Dagoretti North,Kawangware,2.566,garbage point,illegal dumping,,public land,,
Dagoretti North,Kawangware,-1.2843553,36.7420489,3.86,garbage point,illegal dumping,,public land,,yes,,Dagoretti North,Kawangware,3.86,garbage point,illegal dumping,,public land,,
