sub_county,ward,lat,lon,_capture_the_location_precision,feature,garbage/garbage_type,garbage/other_garbage_type,garbage/garbage_ownership,garbage/other_garbage_ownership,comments,description
Embakasi Central,Kayole North,-1.2708565,36.923983,4.9,garbage point,collection point,,public land,,The area is a good holding point for waste from across the subcounty,The area is a good holding point for waste from across the subcounty
Starehe,Nairobi Central,-1.2841664,36.8203314,1.936,garbage point,collection point,,public land,,Not bad state though no proper arrangement of the skips,No proper arrangement of the skips
Starehe,Landimawe,-1.3121805,36.8571396,3.829,garbage point,illegal dumping,,public land,,This is an illegal dumping site along Migwani road.,This is an illegal dumping site along Migwani road.
Starehe,Landimawe,-1.3116044,36.8499555,4.659,garbage point,collection point,,public land,,This is a collection point at Kayaba stage along Enterprise road.,This is a collection point at Kayaba stage along Enterprise road.
Starehe,Landimawe,-1.3132548,36.8498305,3.816,garbage point,illegal dumping,,public land,,Illegal dumping at Crescent Bridge and along Ngong' river Mukuru Kayaba informal settlement,Illegal dumping at Crescent Bridge and along Ngong' river Mukuru Kayaba informal settlement
Starehe,Landimawe,-1.3107197,36.8479623,4.604,garbage point,illegal dumping,,public land,,Illegal dumping near Timsales wall along Enterprise road,Illegal dumping near Timsales wall along Enterprise road
Starehe,Landimawe,-1.3107447,36.8456915,3.959,garbage point,holding ground,,public land,,An holding ground by Green Army for holding waste awaiting collection.,An holding ground by Green Army for holding waste awaiting collection.
Starehe,Landimawe,-1.3099923,36.8444971,4.004,garbage point,holding ground,,public land,,An holding ground by Green Army for holding solid waste awaiting collection by trucks.,An holding ground by Green Army for holding solid waste awaiting collection by trucks.
Starehe,Landimawe,-1.3092484,36.8445078,3.699,garbage point,illegal dumping,,public land,,Illegal dumping near office of the Chief Mukuru Kayaba Location off Enterprise road,Illegal dumping near office of the Chief Mukuru Kayaba Location off Enterprise road
Starehe,Landimawe,-1.304317,36.8392502,4.455,garbage point,illegal dumping,,public land,,Illegal dumping at Dakar road junction,Illegal dumping at Dakar road junction
Starehe,Landimawe,-1.304752,36.8302585,4.307,garbage point,holding ground,,public land,,An holding ground for Green Army at Dundori road,An holding ground for Green Army at Dundori road
Starehe,Landimawe,-1.2931231,36.8362157,4.889,garbage point,holding ground,,private,,An holding ground for the Green army along Factory street,An holding ground for the Green army along Factory street
Starehe,Landimawe,-1.2924916,36.8380938,4.162,garbage point,illegal dumping,,public land,,Illegal dumping on public land owned by Kenya Railways Cooperation,Illegal dumping on public land owned by Kenya Railways Cooperation
Starehe,Landimawe,-1.2932766,36.8378549,4.732,garbage point,collection point,,public land,,Collection point for solid waste awaiting trucks collection and transportation to Dandora dumpsite,Collection point for solid waste awaiting trucks collection and transportation to Dandora dumpsite
