panoid,lat,lon,year,month,_0,_90,_180,_270,img_path
61Fu0mpcEquF81w0UKXN7w,-1.36090376155027,36.74345859458745,2021.0,7.0,0.0,0.0,0.0,0.0,6/1/
aR79n4Z0CbFHWxLzKUQwLg,-1.36084885147708,36.74394325221015,2021.0,7.0,0.0,0.0,0.0,0.0,a/r/
G1pls9EfoFOtVJeoaBvohA,-1.360787982879615,36.74447897034795,2021.0,7.0,0.0,0.0,0.0,0.0,g/1/
nh7Ty3rhYJfLGDCYmAFoxA,-1.360741166889902,36.74495654973416,2021.0,7.0,0.0,0.0,0.0,0.0,N/H/
3MFUfABONAmh6_wAr9Sk6g,-1.360695896407349,36.74544423997462,2021.0,7.0,0.0,0.0,0.0,0.0,3/m/
2HN6cpUeK8BPsneKQcGU0w,-1.360619208455646,36.74596013069747,2021.0,7.0,0.0,0.0,0.0,0.0,2/H/
z2FC1yW4Gab2v4ww3VflnA,-1.360555292278624,36.74645324125368,2021.0,7.0,0.0,0.0,0.0,0.0,Z/2/
ACb4XIXAyi7g-EcNasgSRA,-1.360501728455374,36.74690910042348,2021.0,7.0,0.0,8517.0,40390.0,0.0,a/C/
AI7EtkYge6iMG5MkJTyl1A,-1.309815390877089,36.8289635753368,2021.0,8.0,27790.0,33054.0,7421.0,0.0,a/i/
VuIVNXK-FLhpFQxpnMjRQw,-1.310298969157324,36.82915182687238,2021.0,7.0,20723.0,44769.0,14644.0,54055.0,v/U/
z30L8rwTcvnpGnU3WwcMyg,-1.310709500807962,36.82934944118743,2021.0,7.0,16085.0,41725.0,6876.0,34295.0,Z/3/
kzg72_vQC7o081lO7GGTFQ,-1.311161106776123,36.82956266036174,2021.0,7.0,5548.0,25337.0,7367.0,13098.0,K/Z/
VH54m0UK2aNjPBHYDOOa_Q,-1.311694894941015,36.8298015866627,2021.0,7.0,14951.0,11945.0,0.0,16622.0,v/H/
xxoSDYv2VgZaDBpLx2Cnzw,-1.312132880253794,36.82999328565165,2021.0,7.0,5443.0,11472.0,6577.0,14174.0,x/x/
s9hOOnjRWvzhSNNntO_F3Q,-1.312566660906897,36.83018826945925,2021.0,7.0,14549.0,27321.0,4279.0,13958.0,s/9/
8EKRSUvY-ktrchltlLSU-Q,-1.312953674014822,36.83037134350872,2021.0,7.0,5778.0,23482.0,9728.0,10858.0,8/e/
